modulo,conceito_normativo,implementacao_restaurada,classificacao,evidencia_objetiva,desvio_principal
Suprimentos,Planejamento de compras,"planejamentos_compra; planejamento_compra_origens",ATENDE,"Consolidação e origens modeladas","Origem nasce da requisição, não da cadeia normativa completa"
Suprimentos,Pedido de compra,"pedidos_compra; pedido_compra_itens",PARCIAL,"Cabeçalho e itens existentes","Fornecedor é texto, estados não oficiais e rastreabilidade parcial"
Suprimentos,Recebimento,,AUSENTE,"Nenhuma tabela correspondente","Não há recebimento físico, documental ou inspeção"
Suprimentos,Fornecedor,fornecedores,ATENDE,"Cadastro próprio por empresa","Pedido não possui FK para fornecedor"
Produção,Operação (OP),,AUSENTE,"Nenhuma tabela correspondente","Não existe unidade executável do roteiro"
Produção,Tecnologia,tecnologias_aplicadas,PARCIAL,"Cadastro existente","Sem aplicação em operação/roteiro"
Produção,Recurso produtivo,recursos_produtivos,PARCIAL,"Cadastro existente","Sem alocação, calendário ou execução"
Produção,Colaborador,funcionarios,PARCIAL,"Cadastro existente","Sem alocação ou apontamento"
Produção,Apontamento,,AUSENTE,"Nenhuma tabela correspondente","Sem tempos, quantidades, perdas ou executor"
Produção,Serviço terceirizado,,AUSENTE,"Nenhuma tabela correspondente","Sem operação externa, envio, retorno ou custo"
Qualidade,Inspeção,,AUSENTE,"Nenhuma tabela correspondente","Não há gate de qualidade"
Qualidade,Certificado,,AUSENTE,"Nenhuma tabela correspondente","Sem registro documental de conformidade"
Qualidade,Não conformidade,,AUSENTE,"Nenhuma tabela correspondente","Sem ocorrência, disposição ou ação"
Qualidade,Liberação,,AUSENTE,"Nenhuma tabela correspondente","Produção/recebimento não possuem liberação formal"
Expedição,Produto acabado,,AUSENTE,"Nenhuma tabela correspondente","Não há identidade/saldo do produto concluído"
Expedição,Separação,,AUSENTE,"Nenhuma tabela correspondente","Não há preparação da expedição"
Expedição,Expedição,,AUSENTE,"Nenhuma tabela correspondente","Não há documento ou evento de saída industrial"
Expedição,Entrega,,AUSENTE,"Nenhuma tabela correspondente","Não há confirmação final nem rastreabilidade até o cliente"
